,relative,latitude,longitude
aracaju,11.012345679012347,-10.9162061,-37.0774655
belem,9.270833333333334,-1.45056,-48.4682453
belo horizonte,11.603585657370518,-19.9227318,-43.9450948
boa vista,8.18399044205496,2.8208478,-60.6719582
campo grande,14.271653543307087,-20.4640173,-54.6162947
cuiaba,12.290227048371175,-15.5986686,-56.0991301
curitiba,13.475521085797382,-25.4295963,-49.2712724
florianopolis,11.472081218274113,-27.5973002,-48.5496098
fortaleza,11.297483966452885,-3.7304512,-38.5217989
goiania,13.28125,-16.680882,-49.2532691
joao pessoa,12.312166747455162,-7.1215981,-34.882028
macapa,8.96455872133426,0.0401529,-51.0569588
maceio,13.375486381322958,-9.6476843,-35.7339264
manaus,10.08505467800729,-3.1316333,-59.9825041
natal,11.050545094152627,-5.805398,-35.2080905
palmas,6.763285024154589,-10.1835604,-48.3337793
porto alegre,12.433478471214322,-30.0324999,-51.2303767
porto velho,9.588299024918744,-8.7494525,-63.8735438
recife,11.98246468582562,-8.0641931,-34.8781517
rio branco,8.956854178044784,-9.9765362,-67.8220778
rio de janeiro,14.820285573609059,-22.9110137,-43.2093727
salvador,10.888671875,-12.9822499,-38.4812772
sao luis,9.70258410531448,-2.5319224,-44.2933276
sao paulo,11.336633663366337,-23.5506507,-46.6333824
teresina,8.672219500244978,-5.0896403,-42.809588
vitoria,13.284671532846716,-20.3200917,-40.3376682
distrito federal,10.912906610703043,-15.7754462,-47.7970891
