,hipertensos,latitude,longitude
aracaju,722,-10.9162061,-37.0774655
belem,586,-1.45056,-48.4682453
belo horizonte,698,-19.9227318,-43.9450948
boa vista,453,2.8208478,-60.6719582
campo grande,847,-20.4640173,-54.6162947
cuiaba,838,-15.5986686,-56.0991301
curitiba,814,-25.4295963,-49.2712724
florianopolis,763,-27.5973002,-48.5496098
fortaleza,609,-3.7304512,-38.5217989
goiania,854,-16.680882,-49.2532691
joao pessoa,739,-7.1215981,-34.882028
macapa,443,0.0401529,-51.0569588
maceio,796,-9.6476843,-35.7339264
manaus,501,-3.1316333,-59.9825041
natal,735,-5.805398,-35.2080905
palmas,508,-10.1835604,-48.3337793
porto alegre,846,-30.0324999,-51.2303767
porto velho,551,-8.7494525,-63.8735438
recife,756,-8.0641931,-34.8781517
rio branco,571,-9.9765362,-67.8220778
rio de janeiro,915,-22.9110137,-43.2093727
salvador,793,-12.9822499,-38.4812772
sao luis,585,-2.5319224,-44.2933276
sao paulo,653,-23.5506507,-46.6333824
teresina,647,-5.0896403,-42.809588
vitoria,787,-20.3200917,-40.3376682
distrito federal,638,-15.7754462,-47.7970891
